t/s	x/m	y/m
19,02	-60,760	14,842
19,04	-60,998	14,848
19,06	-61,236	14,854
19,08	-61,475	14,859
19,10	-61,714	14,865
19,12	-61,954	14,871
19,14	-62,195	14,877
19,16	-62,436	14,883
19,18	-62,677	14,888
19,20	-62,919	14,894
19,22	-63,161	14,900
19,24	-63,404	14,905
19,26	-63,648	14,911
19,28	-63,892	14,917
19,30	-64,136	14,922
19,32	-64,381	14,928
19,34	-64,626	14,934
19,36	-64,872	14,939
19,38	-65,118	14,945
19,40	-65,365	14,950
19,42	-65,612	14,956
19,44	-65,860	14,961
19,46	-66,108	14,967
19,48	-66,357	14,973
19,50	-66,606	14,978
19,52	-66,856	14,984
19,54	-67,107	14,989
19,56	-67,357	14,995
19,58	-67,609	15,000
19,60	-67,860	15,005
19,62	-68,113	15,011
19,64	-68,365	15,016
19,66	-68,619	15,022
19,68	-68,872	15,027
19,70	-69,126	15,032
19,72	-69,381	15,038
19,74	-69,636	15,043
19,76	-69,892	15,048
19,78	-70,148	15,054
19,80	-70,405	15,059
19,82	-70,662	15,064
19,84	-70,920	15,070
19,86	-71,178	15,075
19,88	-71,437	15,080
19,90	-71,696	15,085
19,92	-71,956	15,091
19,94	-72,216	15,096
19,96	-72,477	15,101
19,98	-72,738	15,106
20,00	-73,000	15,111
